vOTU,S01,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,H01,H02,H03,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20
NODE_1_length_22303_cov_5.749775,37060,17717855,29891344,0,398,24737664,0,0,0,0,0,0,27418378,18719833,0,20648912,0,0,11502,0,0,0,0,0,0,0,0,4575206,11933807,0,3110082,0,0,0,0,0,0,0
NODE_11_length_3137_cov_2.450498,12124842,10283094,0,0,10451669,21984545,0,0,0,0,0,0,1190012,25759668,0,5557352,0,0,8315893,0,0,0,0,0,0,0,0,6848032,0,0,0,0,0,0,0,0,0,0
NODE_3_length_15335_cov_8.231852,0,0,0,0,0,0,0,0,0,0,0,0,4188812,4575699,10868384,31578842,10868384,0,0,0,0,0,0,0,0,0,0,39924678,2975375,0,0,0,0,0,0,0,0,0
NODE_4_length_15002_cov_5.222723,0,2150251,0,0,0,0,0,0,0,0,0,0,26471626,32049597,0,0,0,198,11592657,0,0,0,0,0,0,0,0,17183531,22810647,0,0,0,0,0,0,0,0,0
NODE_5_length_14811_cov_7.549986,0,0,0,0,0,0,0,0,0,0,0,12660,38047092,34736218,0,0,0,6430227,11742153,0,11252897,0,0,0,0,0,0,30458972,2438841,0,0,0,0,0,0,0,0,0
NODE_6_length_14680_cov_10.716347,0,0,0,0,0,0,0,0,0,0,0,0,5452231,5862439,0,13195135,7568877,64876084,0,0,0,0,0,0,0,0,0,37315945,63457695,0,0,0,0,0,0,0,0,0
NODE_7_length_14674_cov_8.407988,0,0,0,0,0,0,0,0,0,0,0,0,4286037,4231126,0,0,0,0,0,0,0,0,0,0,0,0,0,33671282,45345454,0,0,0,0,0,0,0,0,0
NODE_11_length_10953_cov_1.387770,0,10307973,0,0,5986832,0,0,0,0,0,0,0,7189807,0,0,15916564,0,0,9526872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_12_length_9335_cov_5.195374,0,1727802,0,0,0,0,0,0,0,0,0,0,26717139,2726786,0,0,0,0,0,0,0,0,0,0,0,0,0,1380757,36658308,0,0,0,0,0,0,0,0,0
NODE_14_length_7965_cov_4.991452,0,0,0,0,0,0,0,0,0,0,0,0,25108071,28068928,0,12159737,0,0,0,0,0,0,0,0,0,0,0,17531047,28642422,0,0,0,0,0,0,0,0,0
NODE_18_length_5986_cov_8.451442,0,26944592,0,0,0,0,0,0,0,0,0,10441029,43802803,4454839,0,16179803,0,3977535,14526649,0,0,0,0,0,0,0,0,2691565,31759783,0,0,0,0,0,0,0,0,0
NODE_22_length_5829_cov_7.743599,0,0,0,0,0,0,0,0,0,0,0,0,38776526,40203025,9531,16615594,9531,8169334,0,0,0,0,0,0,0,0,0,36854138,2609217,0,0,0,0,0,0,0,0,0
NODE_26_length_5425_cov_1.197433,10627699,29730935,40963,0,24174662,19068807,0,0,0,0,0,0,44564163,34756165,0,11425894,0,0,22440393,0,0,0,0,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0
NODE_40_length_4284_cov_1.652634,0,75298936,0,0,76533345,0,0,0,0,0,0,0,8527249,0,0,15825538,0,0,10148987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_1_length_56040_cov_10.309427,0,0,0,0,0,0,0,0,0,0,0,61340117,4869667,49820117,0,0,8922198,6797865,0,0,0,0,0,0,0,0,0,3967551,54958027,0,0,0,0,0,0,0,0,0
NODE_2_length_52364_cov_8.693168,0,0,0,0,0,0,0,0,0,0,0,0,4130619,39377297,0,0,0,0,0,0,0,0,0,0,0,0,0,33640415,37758503,0,0,0,0,0,0,0,0,0
NODE_67_length_8038_cov_12.352421,0,0,0,0,0,0,0,0,0,0,0,15551132,57611113,6182753,13823229,0,0,59242407,0,0,0,0,0,0,0,0,0,4142514,4966902,0,0,0,0,0,0,0,0,0
NODE_149_length_5615_cov_7.948069,0,0,0,0,0,0,0,0,0,0,0,0,35584683,42694683,0,0,0,16961371,0,0,0,0,0,0,0,0,0,30606985,2709,0,41177893,0,0,0,0,0,0,0
NODE_365_length_3544_cov_1.030729,30566965,4551081,0,0,0,0,0,0,0,0,0,0,20063784,76004585,0,12571122,0,0,24536265,0,0,0,0,0,0,0,0,5455431,0,0,0,0,0,0,0,0,0,0
NODE_366_length_3543_cov_0.854801,0,13657098,0,0,9254,0,0,0,0,0,0,0,4064063,0,0,2733624,0,0,8590116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NODE_368_length_3510_cov_2.866391,5418181,0,0,0,28023,0,0,0,0,0,0,0,23550082,11511123,0,18487477,0,0,49547876,0,0,0,0,0,0,0,0,15300767,0,0,0,0,0,0,0,0,0,0
NODE_428_length_3109_cov_1.519450,0,20751,0,0,10545798,0,0,0,0,0,0,0,52889276,17327776,0,57631636,0,0,16781574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0